iter	Logloss
0	0.6378616619
1	0.5963137651
2	0.5664066655
3	0.5439672771
4	0.5268564163
5	0.5144074925
6	0.5049942291
7	0.4972352473
8	0.4910782865
9	0.4859988923
10	0.4822006494
11	0.479385516
12	0.4770056485
13	0.4750450581
14	0.473349873
15	0.4720148894
16	0.4708968963
17	0.4700864667
18	0.4692375226
19	0.4685972742
20	0.4680058667
21	0.4675632362
22	0.4672756024
23	0.4668802813
24	0.466610882
25	0.4662910313
26	0.4660070957
27	0.4656847432
28	0.4655102768
29	0.4653595096
30	0.4651960057
31	0.4650368852
32	0.4648989194
33	0.4647854698
34	0.4646820513
35	0.4645259323
36	0.4643090512
37	0.4641011202
38	0.4640006957
39	0.4638833902
40	0.4638067858
41	0.4636994208
42	0.4635982334
43	0.4634505507
44	0.4633559506
45	0.4633071022
46	0.4632392972
47	0.4631826096
48	0.4631230587
49	0.4630636008
50	0.462987927
51	0.4629163494
52	0.4628610578
53	0.4627837396
54	0.4627342816
55	0.4627012072
56	0.462660395
57	0.4625995742
58	0.4625361412
59	0.4624736596
60	0.4624126001
61	0.462372413
62	0.4623163369
63	0.4623015609
64	0.4622655389
65	0.4622448502
66	0.4622009324
67	0.4621536269
68	0.4621012042
69	0.4620775894
70	0.4620403485
71	0.4620114425
72	0.4619882718
73	0.4619559624
74	0.4619180542
75	0.4618949587
76	0.4618688753
77	0.4618427199
78	0.4618135607
79	0.4617940778
80	0.4617285577
81	0.4617089702
82	0.4616723446
83	0.4616065292
84	0.4615895288
85	0.4615619601
86	0.4615442109
87	0.4615206321
88	0.4615002183
89	0.4614738213
90	0.4614573362
91	0.4614311509
92	0.4613784025
93	0.4613483524
94	0.4613197991
95	0.4612933867
96	0.4612600478
97	0.4612464492
98	0.4612429948
99	0.4612276506
100	0.46119709
101	0.4611841173
102	0.4611629674
103	0.461136455
104	0.4611154381
105	0.4610873375
106	0.4610759619
107	0.4610578754
108	0.4610289882
109	0.461005801
110	0.4609891727
111	0.4609775201
112	0.4609623003
113	0.4609468145
114	0.4609271502
115	0.4608996972
116	0.460890549
117	0.4608796731
118	0.4608614706
119	0.4608506993
120	0.4608307065
121	0.4608072208
122	0.4607914258
123	0.4607794297
124	0.4607459852
125	0.460723173
126	0.4607083317
127	0.4606877571
128	0.4606721281
129	0.4606561259
130	0.4606349769
131	0.4606198856
132	0.4606048225
133	0.4605833751
134	0.4605561332
135	0.4605375001
136	0.4605227952
137	0.460499404
138	0.460481574
139	0.4604581924
140	0.460443012
141	0.4604225674
142	0.4604057559
143	0.4603801499
144	0.4603537287
145	0.4603248825
146	0.4603001017
147	0.4602851822
148	0.4602568985
149	0.4602322203
150	0.460206386
151	0.4601923048
152	0.4601640457
153	0.4601359609
154	0.4601018219
155	0.4600820675
156	0.4600626859
157	0.4600441206
158	0.4600188595
159	0.4600034526
160	0.4599774569
