iter	Passed	Remaining
0	37	27948
1	76	28248
2	115	28216
3	153	28186
4	193	28293
5	230	28104
6	271	28307
7	320	29248
8	362	29310
9	401	29191
10	440	29054
11	479	28978
12	518	28873
13	555	28695
14	595	28672
15	634	28575
16	664	28148
17	705	28196
18	749	28321
19	783	28100
20	822	28045
21	863	28066
22	906	28137
23	945	28081
24	985	28056
25	1025	28033
26	1066	28054
27	1106	28025
28	1145	27962
29	1185	27936
30	1225	27906
31	1267	27930
32	1314	28033
33	1355	28022
34	1395	27991
35	1434	27926
36	1462	27663
37	1503	27655
38	1543	27633
39	1582	27574
40	1623	27568
41	1663	27533
42	1703	27497
43	1743	27458
44	1785	27451
45	1823	27396
46	1864	27369
47	1898	27247
48	1938	27215
49	1978	27186
50	2017	27136
51	2055	27074
52	2097	27063
53	2136	27020
54	2176	26991
55	2217	26971
56	2258	26946
57	2288	26787
58	2326	26735
59	2367	26715
60	2408	26686
61	2448	26655
62	2488	26618
63	2527	26574
64	2566	26529
65	2605	26494
66	2644	26443
67	2683	26404
68	2725	26384
69	2766	26357
70	2806	26323
71	2844	26272
72	2883	26225
73	2922	26187
74	2963	26156
75	3002	26115
76	3042	26076
77	3083	26048
78	3122	26011
79	3161	25966
80	3200	25923
81	3244	25913
82	3285	25889
83	3320	25811
84	3360	25775
85	3399	25731
86	3438	25687
87	3479	25663
88	3519	25624
89	3559	25587
90	3592	25504
91	3631	25462
92	3671	25423
93	3709	25376
94	3739	25269
95	3780	25244
96	3818	25197
97	3858	25161
98	3902	25146
99	3941	25109
100	3981	25069
101	4019	25023
102	4059	24989
103	4097	24937
104	4134	24886
105	4174	24852
106	4214	24814
107	4256	24790
108	4296	24752
109	4341	24748
110	4380	24706
111	4421	24672
112	4461	24634
113	4500	24593
114	4540	24559
115	4580	24523
116	4620	24486
117	4660	24448
118	4700	24412
119	4740	24375
120	4781	24344
121	4825	24326
122	4867	24295
123	4906	24254
124	4944	24210
125	4983	24165
126	5023	24129
127	5063	24089
128	5101	24046
129	5140	24001
130	5179	23959
131	5217	23912
132	5258	23879
133	5302	23862
134	5346	23842
135	5386	23802
136	5425	23761
137	5466	23727
138	5505	23686
139	5545	23648
140	5585	23609
141	5623	23561
142	5663	23523
143	5701	23477
144	5740	23436
145	5781	23402
146	5820	23361
147	5859	23319
148	5899	23280
149	5937	23236
150	5978	23200
151	6015	23152
152	6055	23112
153	6093	23069
154	6132	23024
155	6174	22995
156	6212	22949
157	6253	22916
158	6293	22879
159	6340	22864
160	6379	22824
